open,high,low,close,Volume,timestamp,price_range,body_size,upper_shadow,lower_shadow,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_above_sma20,price_above_ema20,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,volatility,atr,momentum_1,momentum_3,momentum_5,momentum_10,volume_sma,volume_ratio,price_volume,wave_trend,wave_strength,support_resistance
1776.847,1777.007,1774.278,1774.558,0.578449996588461,1970-01-01 00:00:00.025640922,2.729000000000042,2.2889999999999873,0.16000000000008185,0.2799999999999727,1764.4284,1771.5894511804893,1775.7223000000001,1775.9990081722444,1792.3613500000004,1783.3252170974888,1788.26834,1790.6117764508824,0,0,33.611483076841864,-7.513483125482708,-4.370767893313396,-3.1427152321693113,1840.3304086382634,1744.3922913617373,0.3144288161431698,23.984529319131532,3.0957142857142634,-0.00347606736045758,0.011712563297670453,0.010059855972278209,-0.011260508321967011,1.0,1.0,1774.558,-1,0.2538788170302414,0
1752.007,1752.217,1748.144,1748.278,0.689070001353684,1970-01-01 00:00:00.025640923,4.073000000000093,3.729000000000042,0.21000000000003638,0.13400000000001455,1763.8112,1763.8189674536595,1771.8222999999998,1770.9588248682,1789.44,1779.987386897728,1787.2327400000001,1788.9516283088058,0,0,34.327483410246884,-9.326601339046874,-5.361934582460092,-3.964666756586782,1840.7323735420573,1738.1476264579428,0.09875126497851382,25.64618677102868,3.1694999999999873,-0.014809321532460507,-0.007482437844104184,-0.001762055175280497,-0.021820891881397353,1.0,1.0,1748.278,-1,0.04158620222094835,0
1741.338,1744.398,1740.338,1742.738,1.26850002195715,1970-01-01 00:00:00.025640924,4.059999999999945,1.400000000000091,1.6599999999998545,1.0,1761.556,1756.7919783024397,1766.9684000000002,1765.8277658012546,1786.02565,1776.4398262408017,1786.05308,1787.1393291112322,0,0,33.39997509127738,-11.082786818745035,-6.506105029717082,-4.576681789027953,1840.274239372968,1731.7770606270321,0.10102510958957539,27.12429468648391,2.9576428571428517,-0.0031688324168124282,-0.021344962903229403,-0.006428683009371605,-0.027097428259280965,1.0,1.0,1742.738,-1,0.1472144587003864,-1
1749.194,1749.778,1749.134,1749.448,0.179580005671596,1970-01-01 00:00:00.025640926,0.6440000000000055,0.2540000000001328,0.32999999999992724,0.05999999999994543,1759.154,1754.3439855349598,1761.3258,1762.8496265646627,1782.8771500000003,1773.86917612263,1784.48688,1785.6612377357603,0,0,36.571660514732926,-11.797145393223445,-7.564313102418356,-4.2328322908050895,1837.9788305141478,1727.7754694858527,0.19665943317811244,27.550840257073748,2.702214285714279,0.0038502632065176012,-0.014150002423138575,-0.006818215364771674,-0.031245812277046925,1.0,1.0,1749.448,-1,0.1991280392008687,0
1752.144,1752.664,1751.434,1751.884,0.589759998052614,1970-01-01 00:00:00.025640927,1.2300000000000182,0.2599999999999909,0.5199999999999818,0.4500000000000455,1753.3812000000003,1753.5239903566398,1757.1374,1760.8558762801786,1778.8030000000003,1771.7753498252366,1783.0701999999999,1784.3366401449691,0,0,36.35449546889318,-12.028062847379033,-8.457063051410492,-3.5709997959685413,1830.1045924816851,1727.5014075183155,0.23763972327359342,25.65079624084236,2.5590714285714284,0.00139243921511234,0.0020626010279829465,-0.016208918948666495,-0.023349730845906524,1.0,1.0,1751.884,-1,0.6489279742076983,1
1736.775,1739.665,1735.478,1739.095,0.989560002664803,1970-01-01 00:00:00.025640928,4.186999999999898,2.3199999999999363,0.5699999999999363,1.2970000000000255,1746.2886000000003,1748.7143269044266,1755.3584999999998,1756.899353320146,1774.38335,1768.6629355561668,1781.5983999999999,1782.5624581366426,0,0,35.16852895004155,-13.092114267616807,-9.384073294651754,-3.708040972965053,1823.1947669659107,1725.5719330340894,0.13852360581290832,24.405708482955294,2.7840714285714188,-0.007300140876907335,-0.0020903888019886407,-0.019984131259727755,-0.01012531276965356,1.0,1.0,1739.095,-1,0.7223291035807624,0
1727.668,1728.648,1725.358,1728.358,1.24786002197652,1970-01-01 00:00:00.025640929,3.2899999999999636,0.6900000000000546,0.2899999999999636,2.3099999999999454,1742.3046000000002,1741.928884602951,1753.0579000000002,1751.7100163528467,1769.5889000000002,1764.8243702651032,1779.8106,1780.4367930634933,0,0,31.403947438421,-14.633087724866982,-10.433876180694801,-4.199211544172181,1816.5812795833344,1722.596520416666,0.06130227533079951,23.496189791667117,2.8212142857142744,-0.006173900793228659,-0.01205523113576401,-0.011394068906661392,-0.013136047103857407,1.0,1.0,1728.358,-1,0.34616839018783135,-1
1757.316,1762.276,1756.536,1760.834,1.4108400028781,1970-01-01 00:00:00.025640930,5.740000000000009,3.518000000000029,1.4420000000000073,0.7799999999999727,1745.9238,1748.2305897353008,1753.7399,1753.368922470511,1767.8903500000001,1764.44433500176,1778.8517200000001,1779.6680560638695,0,0,37.96056711502686,-13.082966214451972,-10.963694187446237,-2.119272027005735,1813.479921504999,1722.3007784950012,0.42261004252665185,22.794785752499518,3.0216428571428486,0.01879008862747189,0.0051087857415217375,0.010383660653523474,0.003888224381333405,1.0,1.0,1760.834,-1,0.31168965096318163,0
1758.215,1759.785,1754.805,1757.488,1.32119001845422,1970-01-01 00:00:00.025641001,4.980000000000018,0.7269999999998618,1.5700000000001637,2.6829999999999927,1747.5318,1751.3163931568672,1753.3429,1754.1178456576909,1766.0954000000002,1763.7818269063544,1777.8397200000002,1778.7982499255174,0,0,39.825679222847924,-11.986307296441282,-11.168216809245246,-0.8180904871960362,1810.2628700651599,1721.9279299348404,0.40255950830665976,22.083735032579845,3.275928571428559,-0.0019002359109376865,0.010576190489881343,0.004595735340518825,-0.0022538147375640305,1.0,1.0,1757.488,-1,0.1393834903466072,0
1763.368,1763.448,1762.678,1763.058,0.228550003703276,1970-01-01 00:00:00.025641003,0.7699999999999818,0.30999999999994543,0.08000000000015461,0.37999999999988177,1749.7665999999997,1755.2302621045783,1751.5739,1755.7433282653833,1764.6586,1763.7128910105112,1777.04892,1778.1809852101467,0,0,52.10031433275727,-10.546175012570075,-11.043808449910212,0.4976334373401379,1807.1436576303188,1722.1735423696812,0.4811627888806517,21.242528815159368,2.978785714285696,0.0031692961772711303,0.020076859076649578,0.006378276187236187,-0.009934027723181527,1.0,1.0,1763.058,-1,0.23200832064424345,0
